ఆఫ్రికా	Africa
జిమ్మీ వేల్స్	Jimmy Wales
జర్మనీ	Germany
బెలారస్	Belarus
లారీ సాంగర్	Larry Sanger
జర్మన్ భాష	German language
ఐస్‌లాండ్	Iceland
దేవుడు	God
ఎస్టోనియా	Estonia
చాక్లెట్	Chocolate
విమానం	Airplane
యుద్ధం	War
ఒకటి	1 (number)
రెండు	2 (number)
మూడు	3 (number)
నాలుగు	4 (number)
సున్న	0 (number)
దీర్ఘ చతురస్రం	Rectangle
లాట్వియా	Latvia
ఉక్రెయిన్	Ukraine
చెక్ రిపబ్లిక్	Czech Republic
స్లోవేనియా	Slovenia
మోల్డోవా	Moldova
రొమేనియా	Romania
బల్గేరియా	Bulgaria
రోమ్	Rome
మేసిడోనియా	Republic of Macedonia
అల్బేనియా	Albania
గ్రీన్‌లాండ్	Greenland
క్రొయేషియా	Croatia
బోస్నియా మరియు హెర్జెగొవీనా	Bosnia and Herzegovina
అజర్‌బైజాన్	Azerbaijan
అండొర్రా	Andorra
సైప్రస్	Cyprus
జార్జియా (దేశం)	Georgia (country)
కజకస్తాన్	Kazakhstan
మొనాకో	Monaco
వాటికన్ నగరం	Vatican City
క్యూబా	Cuba
బెలిజ్	Belize
ఈఫిల్ టవర్	Eiffel Tower
బార్బడోస్	Barbados
రాసబెర్రి పై	Raspberry Pi
వోక్స్ వాగన్	Volkswagen
ఇంటెల్ సంస్థ	Intel
కంప్యూటర్ కీబోర్డ్	Computer keyboard
జావా	Java (programming language)
ఇండోనేషియా	Indonesia
మేండెల్‌బ్రాట్ సెట్	Mandelbrot set
దక్షిణ ఆఫ్రికా	South Africa
అల్జీరియా	Algeria
ఉజ్బెకిస్తాన్	Uzbekistan
డ్రోసిరా	Drosera
తాష్కెంట్	Tashkent
నీరు	Water
చెక్క	Wood
టెలివిజన్	Television
లింగ భేదం	Sex
చిలీ	Chile
యేసు	Jesus
శారీరక దండన	Corporal punishment
గెలీలియో గెలీలి	Galileo Galilei
బుధుడు	Mercury (planet)
చరిత్ర	History
యాపిల్ ఇన్‌కార్పొరేషన్	Apple Inc.
శుక్రుడు	Venus
భాష	Language
ప్రేమ	Love
నియంతృత్వం	Dictatorship
గేలక్సీ	Galaxy
గురుడు	Jupiter
మిచెల్లీ బచెలేట్	Michelle Bachelet
పాలపుంత	Milky Way
మహా విస్ఫోటం	Big Bang
యురేనస్	Uranus
ఆంగ్ల వికీపీడియా	English Wikipedia
నెప్ట్యూన్	Neptune
ఖగోళ శాస్త్రము	Astronomy
సింగపూరు	Singapore
విజ్ఞానశాస్త్రం	Science
ప్లూటో	Pluto
మాంట్రియల్	Montreal
కాలము	Future
మరియమ్	Mary (mother of Jesus)
ఆటలు	Sport
ఎడాల్ఫ్ హిట్లర్	Adolf Hitler
ఫేస్‌బుక్	Facebook
గూగుల్+	Google+
వికీలీక్స్	WikiLeaks
జూలియన్ అసాంజే	Julian Assange
మొదటి ప్రపంచ యుద్ధం	World War I
రెండవ ప్రపంచ యుద్ధం	World War II
కొలోన్	Cologne
లంచం	Corruption
వికీబుక్స్	Wikibooks
వికీకోట్	Wikiquote
ఉబుంటు	Ubuntu (operating system)
లినక్స్	Linux
బాబ్ డైలాన్	Bob Dylan
గణితము	Mathematics
లాటిన్	Latin
బహ్రయిన్	Bahrain
ఆర్మేనియా	Armenia
జెన్నా జేమ్సన్	Jenna Jameson
సెర్బియా	Serbia
చంద్రుడు	Moon
ఇస్తాంబుల్	Istanbul
ఆస్ట్రేలియా	Australia
కార్ల్ సాగాన్	Carl Sagan
భౌతిక శాస్త్రము	Physics
అర్జెంటీనా	Argentina
పెరూ	Peru
జీవ శాస్త్రము	Biology
గుర్తించబడని ఎగురుతున్న వస్తువు	Unidentified flying object
ఉత్తర కొరియా	North Korea
కంబోడియా	Cambodia
క్యూపర్ బెల్ట్	Kuiper belt
ఖోరాన్	Quran
రాక్షసబల్లి	Dinosaur
జంతుశాస్త్రం	Zoology
ఇస్లాం మతం	Islam
వృక్షశాస్త్రం	Botany
లెక్ వలీసా	Lech Wałęsa
చక్రం	Wheel
శాంతి	Peace
బ్రిటానికా విజ్ఞాన సర్వస్వము	Encyclopædia Britannica
ఐరోపా సమాఖ్య	European Union
వరల్డ్ వైడ్ వెబ్	World Wide Web
స్త్రీ	Woman
కవి	Poetry
కంప్యూటర్ వైరస్	Computer virus
నవ్వు	Smile
హిరోషిమా మరియు నాగసాకిలపై అణ్వస్త్ర దాడులు	Atomic bombings of Hiroshima and Nagasaki
మిలన్	Milan
మిత్రుడు	Friendship
మలము	Feces
గుదము	Anus
చంక	Axilla
నిమ్మ	Lemon
అరటి	Banana
పుష్పము	Flower
గూగోల్	Googol
ఎవరెస్టు పర్వతం	Mount Everest
శరీర నిర్మాణ శాస్త్రము	Anatomy
నగరము	City
నెపోలియన్	Napoleon
శరీరశాస్త్రం	Physiology
నక్షత్రము (ఖగోళశాస్త్రం)	Star
సూర్యుడు	Sun
ఆకాశం	Sky
లూయీ పాశ్చర్	Louis Pasteur
కాంతి సంవత్సరం	Light-year
గ్రామం	Village
విక్టర్ హ్యూగో	Victor Hugo
ఓషియానియా	Oceania
గిసేప్పి గారిబాల్డి	Giuseppe Garibaldi
సౌరమండలము	Solar System
హైడ్రోజన్	Hydrogen
హీలియం	Helium
పన్ను	Human tooth
నరకం	Hell
వికీపీడియా:వికీమీడియా కామన్స్	Wikimedia Commons
లిథియం	Lithium
బెరీలియం	Beryllium
పుస్తకము	Book
తూర్పు తైమూర్	East Timor
రాత్రి	Night
సంవత్సరము	Year
కృష్ణబిలం	Black hole
సెరిస్ (మరుగుజ్జు గ్రహం)	Ceres (dwarf planet)
లిస్బన్	Lisbon
ఎరిస్ (మరుగుజ్జు గ్రహం)	Eris (dwarf planet)
దుబాయ్	Dubai
బోరాన్	Boron
నికోలాస్ కోపర్నికస్	Nicolaus Copernicus
కార్బన్	Carbon
నత్రజని	Nitrogen
ఆక్సిజన్	Oxygen
ఫుట్‌బాల్ క్లబ్ ఇంటర్నేజనలే మిలనో	Inter Milan
గ్రహం	Planet
క్లియోపాత్రా	Cleopatra
భారతీయ సంగీతము	Music
వెనిస్	Venice
ఉష్ణమాపకం	Thermometer
మాస్కో	Moscow
ఫ్లోరిన్	Fluorine
చువావా (కుక్క)	Chihuahua (dog)
నియాన్	Neon
సెయింట్ పీటర్స్‌బర్గ్	Saint Petersburg
చాద్	Chad
సోడియం	Sodium
ఉత్తరం	North
మెగ్నీషియం	Magnesium
అల్యూమినియం	Aluminium
న్యూజీలాండ్	New Zealand
దక్షిణం	South
భారత దేశము	India
సిలికాన్	Silicon
భాస్వరము	Phosphorus
ఇనుము	Iron
పడమర	West
అలెస్సాండ్రో వోల్టా	Alessandro Volta
సల్ఫర్	Sulfur
సమోవా	Samoa
తూర్పు	East
సోలమన్ దీవులు	Solomon Islands
వనాటు	Vanuatu
క్లోరిన్	Chlorine
విలియం షేక్‌స్పియర్	William Shakespeare
ఫైర్‌ఫాక్స్	Firefox
పొటాషియం	Potassium
కాల్షియమ్	Calcium
సీసము (మూలకము)	Lead
కిరిబటి	Kiribati
మంగోలియా	Mongolia
ఫిజీ	Fiji
స్కాండియం	Scandium
టైటానియం	Titanium
వెనుజులా	Venezuela
చదరంగం (ఆట)	Chess
చెంఘీజ్ ఖాన్	Genghis Khan
వెనేడియం	Vanadium
మెయిన్	Maine
క్రోమియం	Chromium
గుర్రము	Horse
ఆయుధం	Weapon
జంతువు	Animal
సురినామ్	Suriname
మాంగనీస్	Manganese
గయానా	Guyana
ఈక్వడార్	Ecuador
కొలంబియా	Colombia
కోబాల్ట్	Cobalt
నికెల్	Nickel
బౌద్ధ మతము	Buddhism
బొలీవియా	Bolivia
ఓస్మియం	Osmium
రాగి	Copper
ట్రినిడాడ్ మరియు టొబాగో	Trinidad and Tobago
మొక్క	Plant
తుత్తునాగము	Zinc
న్యూహాంప్‌షైర్	New Hampshire
లియొనార్డో డావిన్సి	Leonardo da Vinci
శిలీంధ్రం	Fungus
జమైకా	Jamaica
మసాచూసెట్స్	Massachusetts
గూగుల్ క్రోమ్	Google Chrome
బహామాస్	The Bahamas
కనెక్టికట్	Connecticut
కోడి	Chicken
ఆంటిగ్వా మరియు బార్బుడా	Antigua and Barbuda
హవాయి	Hawaii
హోండురాస్	Honduras
జెర్సీ	Jersey
డొమెనికన్ రిపబ్లిక్	Dominican Republic
పంది	Domestic pig
ఆర్క్‌టిక్ మహాసముద్రం	Arctic Ocean
ఇరాన్	Iran
మూగతనం	Stupidity
ఇరాక్	Iraq
అలాస్కా	Alaska
వివేకం	Wisdom
కోస్టారీకా	Costa Rica
ఇజ్రాయిల్	Israel
పనామా	Panama
యెమన్	Yemen
వైరస్	Virus
జోర్డాన్	Jordan
ఫ్లోరిడా	Florida
కిర్గిజిస్తాన్	Kyrgyzstan
ఆరిజోనా	Arizona
కువైట్	Kuwait
లావోస్	Laos
లెబనాన్	Lebanon
ఓరెగాన్	Oregon
మాల్దీవులు	Maldives
యూటా	Utah
పశువు	Cattle
మలేషియా	Malaysia
మయన్మార్	Burma
నేపాల్	Nepal
ఒమన్	Oman
పాకిస్తాన్	Pakistan
‌జేమ్స్ బాండ్	James Bond
కతర్	Qatar
టెన్నిస్	Tennis
సౌదీ అరేబియా	Saudi Arabia
శ్రీలంక	Sri Lanka
స్టాలిన్	Joseph Stalin
బార్‌కోడ్	Barcode
సిరియా	Syria
ప్లేటో	Plato
గాలియం	Gallium
తజికిస్తాన్	Tajikistan
తైవాన్	Taiwan
యూ ట్యూబ్	YouTube
జెర్మేనియం	Germanium
అరిస్టాటిల్	Aristotle
థాయిలాండ్	Thailand
రైలు	Train
ఆర్సెనిక్	Arsenic
రేడియో	Radio
తుర్కమేనిస్తాన్	Turkmenistan
సెలీనియం	Selenium
యునైటెడ్ అరబ్ ఎమిరేట్స్	United Arab Emirates
బ్రోమిన్	Bromine
వియత్నాం	Vietnam
చార్లీ చాప్లిన్	Charlie Chaplin
దక్షిణ కొరియా	South Korea
ఆఫ్ఘనిస్తాన్	Afghanistan
బంగారం	Gold
సూయజ్ కాలువ	Suez Canal
శాస్త్రవేత్త	Scientist
బంగ్లాదేశ్	Bangladesh
ఫ్రాంజ్ కాఫ్కా	Franz Kafka
జార్జ్ లూయిస్ బోర్గర్స్	Jorge Luis Borges
సోక్రటీసు	Socrates
అంగోలా	Angola
భూటాన్	Bhutan
ట్విట్టర్	Twitter
బ్రూనై	Brunei
టాంజానియా	Tanzania
ఫిలిప్పీన్స్	Philippines
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	Central African Republic
ఐజాక్ న్యూటన్	Isaac Newton
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
స్ట్రాన్షియం	Strontium
పసుపు (రంగు)	Yellow
ట్యునీషియా	Tunisia
జాంబియా	Zambia
జింబాబ్వే	Zimbabwe
బీజింగ్	Beijing
దక్షిణ సూడాన్	South Sudan
బెనిన్	Benin
బోత్సువానా	Botswana
బర్కీనా ఫాసో	Burkina Faso
బురుండి	Burundi
కొమొరోస్	Comoros
కాంగో రిపబ్లిక్	Republic of the Congo
శాన్ అంటోనియో	San Antonio
జిబౌటి	Djibouti
బవేరియా	Bavaria
ఎరిత్రియా	Eritrea
క్రొత్త ఢిల్లీ	New Delhi
దాస్తొయెవ్‌స్కీ	Fyodor Dostoyevsky
శిశువు	Infant
గబాన్	Gabon
మహాత్మా గాంధీ	Mahatma Gandhi
కామిక్స్	Comics
గాంబియా	The Gambia
కోటె డి ఐవొరి	Ivory Coast
కామెరూన్	Cameroon
కేప్ వర్దె	Cape Verde
లిబియా	Libya
మడగాస్కర్	Madagascar
మౌరిటానియ	Mauritania
మారిషస్	Mauritius
మొరాకో	Morocco
మొజాంబిక్	Mozambique
నమీబియా	Namibia
నైజర్	Niger
నైజీరియా	Nigeria
చార్లెస్ డార్విన్	Charles Darwin
ఉగాండా	Uganda
రువాండా	Rwanda
సెనెగల్	Senegal
కరోలస్ లిన్నేయస్	Carl Linnaeus
సొమాలియా	Somalia
నియోబియం	Niobium
జవహర్‌లాల్ నెహ్రూ	Jawaharlal Nehru
జూలియస్ సీజర్	Julius Caesar
సూడాన్	Sudan
ఇంద్రధనస్సు	Rainbow
టెక్నీషియం	Technetium
నరేంద్ర మోడి	Narendra Modi
రోగ నిరోధక వ్యవస్థ	Immune system
గుజరాత్	Gujarat
పరిణామం	Evolution
ఐక్యరాజ్య సమితి	United Nations
భూగోళ శాస్త్రము	Geography
గుండె	Heart
మెదడు	Brain
చర్మము	Skin
రంగు	Color
నామవాచకం	Noun
నీలము	Blue
వెండి	Silver
కాడ్మియం	Cadmium
తగరము	Tin
అయోడిన్	Iodine
సీసియం	Caesium
విద్యుద్భరితము	Electric charge
బిల్ క్లింటన్	Bill Clinton
ఇందిరా గాంధీ	Indira Gandhi
ముంబై	Mumbai
ఆంధ్ర ప్రదేశ్	Andhra Pradesh
అరుణాచల్ ప్రదేశ్	Arunachal Pradesh
అసోం	Assam
బీహార్	Bihar
మిషిగన్	Michigan
ఛత్తీస్‌గఢ్	Chhattisgarh
గోవా	Goa
హర్యానా	Haryana
హిమాచల్ ప్రదేశ్	Himachal Pradesh
జమ్మూ కాశ్మీరు	Jammu and Kashmir
ఫ్యూర్టో రికో	Puerto Rico
జార్ఖండ్	Jharkhand
కర్ణాటక	Karnataka
కేరళ	Kerala
మధ్య ప్రదేశ్	Madhya Pradesh
ఉసేన్ బోల్ట్	Usain Bolt
మహారాష్ట్ర	Maharashtra
మణిపూర్	Manipur
మేఘాలయ	Meghalaya
ఇల్లినాయిస్	Illinois
నార్త్ డకోటా	North Dakota
సౌత్ డకోటా	South Dakota
మొంటానా	Montana
వయోమింగ్	Wyoming
జెరూసలేం	Jerusalem
ఐడహొ	Idaho
బ్రూస్ స్ప్రింగ్‌స్టీన్	Bruce Springsteen
నెవాడా	Nevada
హిందూ మహాసముద్రం	Indian Ocean
కోఫీ అన్నన్	Kofi Annan
బౌత్రోస్ బౌత్రోస్ ఘలీ	Boutros Boutros-Ghali
జేవియర్ పెరేజ్ డిక్యుల్లర్	Javier Pérez de Cuéllar
కొలరాడో	Colorado
యూ థాంట్	U Thant
కొలరాడో నది	Colorado River
ట్రిగ్వేలీ	Trygve Lie
వర్గం:వర్గాలు	Category:Contents
ఆల్ప్స్ పర్వతాలు	Alps
బ్లేజ్ పాస్కల్	Blaise Pascal
డార్ట్ ముండ్	Dortmund
చికాగో	Chicago
ద బీటిల్స్	The Beatles
చలికాలం	Winter
వేసవి కాలం	Summer
విషువత్తు	Equinox
సద్దామ్ హుసేన్	Saddam Hussein
ఒసామా బిన్ లాదెన్	Osama bin Laden
స్పానిష్ భాష	Spanish language
పిట్స్‌బర్గ్	Pittsburgh
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	Philadelphia
కోల్‌కత	Kolkata
చెన్నై	Chennai
ఢిల్లీ	Delhi
ఢాకా	Dhaka
బెంగుళూరు	Bangalore
పశ్చిమ బెంగాల్	West Bengal
సాలెపురుగు	Spider
ఆర్థ్రోపోడా	Arthropod
హైదరాబాదు	Hyderabad
ఇస్లామాబాద్	Islamabad
త్రిపుర	Tripura
పండు	Fruit
కోతి	Monkey
ధనం	Money
వర్జీనియా	Virginia
పశ్చిమ వర్జీనియా	West Virginia
న్యూయార్క్ రాష్ట్రం	New York
రోడ్ ఐలండ్	Rhode Island
కీటకము	Insect
మేరీల్యాండ్	Maryland
డెలావేర్	Delaware
లెనిన్	Vladimir Lenin
ఒహాయో	Ohio
మాకియవెలీ	Niccolò Machiavelli
పెన్సిల్వేనియా	Pennsylvania
ఊఎతెర్సెన్	Uetersen
ఆగస్టస్	Augustus
విండోస్	Microsoft Windows
న్యూజెర్సీ	New Jersey
నీరో	Nero
ఇండియానా	Indiana
నోకియా	Nokia
కారు	Car
రోజర్ ఫెడరర్	Roger Federer
జార్జియా	Georgia (U.S. state)
కెడిఇ(KDE)	KDE
రాజస్థాన్	Rajasthan
టెక్సస్	Texas
తమిళనాడు	Tamil Nadu
నార్త్ కెరొలినా	North Carolina
మైదాన హాకీ	Field hockey
సౌత్ కెరొలినా	South Carolina
సిసిలీ	Sicily
మనీలా	Manila
సార్డీనియా	Sardinia
క్రోన్స్ వ్యాధి	Crohn's disease
టోక్యో	Tokyo
అనాస	Pineapple
మిసిసిపీ	Mississippi
మిసిసిపీ నది	Mississippi River
ఉత్తర ప్రదేశ్	Uttar Pradesh
ఉత్తరాఖండ్	Uttarakhand
ఈత కొలను	Swimming pool
మిజోరాం	Mizoram
సిక్కిం	Sikkim
టేనస్సీ	Tennessee
నాగపూర్	Nagpur
న్యూ మెక్సికో	New Mexico
ఏథెన్స్	Athens
మిన్నసోటా	Minnesota
విస్కాన్సిన్	Wisconsin
పూణే	Pune
అయోవా	Iowa
నెబ్రాస్కా	Nebraska
కాన్సాస్	Kansas
హిందీ భాష	Hindi
మరాఠీ భాష	Marathi language
పొగ చుట్ట	Cigar
సిగరెట్	Cigarette
వినాయకుడు	Ganesha
మిస్సోరీ	Missouri
లూసియానా	Louisiana
నాగాలాండ్	Nagaland
కెంటకీ	Kentucky
ఆర్కాన్సా	Arkansas
నీల్ ఆర్మ్‌స్ట్రాంగ్	Neil Armstrong
ఉర్దూ భాష	Urdu
ఓక్లహోమా	Oklahoma
డానుబే	Danube
వాలీబాల్	Volleyball
వియన్నా	Vienna
కోపెన్‌హాగన్	Copenhagen
స్టాక్‌హోమ్	Stockholm
కొచ్చి	Kochi
బైబిల్	Bible
నిజ ఏసుక్రీస్తు మండలి	True Jesus Church
ఆంగ్ల భాష	English language
బ్యాంకాక్	Bangkok
క్యివ్	Kiev
అంటారియో	Ontario
అటావా	Ottawa
కొన్‌స్కొవొలా	Końskowola
ఫార్ములా వన్	Formula One
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
కార్బన్ డయాక్సైడ్	Carbon dioxide
2013	2013
2008	2008
జావాస్క్రిప్టు	JavaScript
2004	2004
2005	2005
2006	2006
2007	2007
లినక్స్ మింట్	Linux Mint
1900	1900
1901	1901
1902	1902
ఫ్లోరెన్స్	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
హెచ్‌టిఎమ్ఎల్5(HTML5)	HTML5
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
ఆహారం	Food
పాము	Snake
XML	XML
నోటితో రతి	Oral sex
న్యూట్రినో	Neutrino
సన్ గోకు (డ్రాగన్ బాల్)	Goku
జనవరి 1	January 1
జనవరి 2	January 2
సుభాష్ చంద్రబోస్	Subhas Chandra Bose
1920	1920
జనవరి 3	January 3
1919	1919
1921	1921
1922	1922
జనవరి 4	January 4
1923	1923
1924	1924
ఆస్టెరాయిడ్ పట్టీ	Asteroid belt
గిఫ్	GIF
మరుగుజ్జు గ్రహం	Dwarf planet
జనవరి 5	January 5
జనవరి 6	January 6
ఎలక్ట్రాన్	Electron
జనవరి 7	January 7
జనవరి 8	January 8
జనవరి 9	January 9
జనవరి 10	January 10
జనవరి 11	January 11
జనవరి 12	January 12
జనవరి 13	January 13
బర్మింగ్‌హామ్	Birmingham
జనవరి 14	January 14
జనవరి 15	January 15
జనవరి 16	January 16
జనవరి 17	January 17
జనవరి 18	January 18
జనవరి 19	January 19
జనవరి 20	January 20
పారిశ్రామిక విప్లవం	Industrial Revolution
జనవరి 21	January 21
జనవరి 22	January 22
జనవరి 23	January 23
జనవరి 24	January 24
జనవరి 25	January 25
జనవరి 26	January 26
మైక్రోసాఫ్ట్	Microsoft
జనవరి 27	January 27
జనవరి 28	January 28
జనవరి 29	January 29
జనవరి 30	January 30
జనవరి 31	January 31
ప్రోటాన్	Proton
డిసెంబర్ 2	December 2
డిసెంబర్ 1	December 1
డిసెంబర్ 3	December 3
డిసెంబర్ 7	December 7
డిసెంబర్ 5	December 5
డిసెంబర్ 8	December 8
డిసెంబర్ 10	December 10
డిసెంబర్ 6	December 6
డిసెంబర్ 9	December 9
పింక్ ఫ్లాయిడ్	Pink Floyd
డిసెంబర్ 4	December 4
ఫిబ్రవరి 1	February 1
ఫిబ్రవరి 2	February 2
ఫిబ్రవరి 3	February 3
కురోవ్	Kurów
ఫిబ్రవరి 4	February 4
ఫిబ్రవరి 5	February 5
ఫిబ్రవరి 6	February 6
ఫిబ్రవరి 7	February 7
ఫిబ్రవరి 8	February 8
ఫిబ్రవరి 9	February 9
ఫిబ్రవరి 10	February 10
రసాయన శాస్త్రము	Chemistry
ఫిబ్రవరి 14	February 14
ఫిబ్రవరి 13	February 13
ఫిబ్రవరి 15	February 15
ఫిబ్రవరి 11	February 11
ఫిబ్రవరి 12	February 12
ఫిబ్రవరి 19	February 19
ఫిబ్రవరి 17	February 17
ఫిబ్రవరి 16	February 16
ఫిబ్రవరి 18	February 18
ఫిబ్రవరి 20	February 20
12 యాంగ్రీ మెన్	12 Angry Men (1957 film)
న్యూట్రాన్	Neutron
69 భంగిమ	69 (sex position)
ఫిబ్రవరి 21	February 21
ఫిబ్రవరి 22	February 22
ఫిబ్రవరి 23	February 23
ఫిబ్రవరి 24	February 24
ఫిబ్రవరి 25	February 25
ఫిబ్రవరి 26	February 26
ఫిబ్రవరి 27	February 27
ఫిబ్రవరి 28	February 28
డిసెంబర్ 11	December 11
ఫిబ్రవరి 29	February 29
డిసెంబర్ 12	December 12
విజువల్ బేసిక్	Visual Basic
డిసెంబర్ 13	December 13
డిసెంబర్ 14	December 14
డిసెంబర్ 15	December 15
మార్చి 2	March 2
మార్చి 3	March 3
మార్చి 5	March 5
మార్చి 1	March 1
మార్చి 7	March 7
మార్చి 8	March 8
మార్చి 4	March 4
మార్చి 10	March 10
మార్చి 11	March 11
మార్చి 6	March 6
మార్చి 13	March 13
మార్చి 9	March 9
మార్చి 12	March 12
మార్చి 15	March 15
మార్చి 14	March 14
డిసెంబర్ 16	December 16
డిసెంబర్ 17	December 17
మార్చి 16	March 16
మార్చి 17	March 17
మార్చి 18	March 18
మార్చి 19	March 19
1989	1989
1988	1988
మార్చి 20	March 20
1987	1987
1986	1986
1985	1985
1984	1984
మార్చి 21	March 21
1983	1983
మార్చి 22	March 22
1982	1982
1981	1981
డిసెంబర్ 18	December 18
1980	1980
మార్చి 23	March 23
డిసెంబర్ 19	December 19
మార్చి 24	March 24
మార్చి 25	March 25
డిసెంబర్ 20	December 20
మార్చి 26	March 26
మార్చి 27	March 27
మార్చి 28	March 28
మార్చి 29	March 29
మార్చి 30	March 30
మార్చి 31	March 31
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
ఏప్రిల్ 15	April 15
ఏప్రిల్ 13	April 13
ఏప్రిల్ 12	April 12
ఏప్రిల్ 14	April 14
ఏప్రిల్ 11	April 11
ఏప్రిల్ 10	April 10
ఏప్రిల్ 8	April 8
ఏప్రిల్ 9	April 9
ఏప్రిల్ 7	April 7
ఏప్రిల్ 6	April 6
ఏప్రిల్ 5	April 5
ఏప్రిల్ 4	April 4
ఏప్రిల్ 3	April 3
ఏప్రిల్ 1	April 1
ఏప్రిల్ 2	April 2
హబుల్ టెలీస్కోపు	Hubble Space Telescope
ఏప్రిల్ 16	April 16
ఏప్రిల్ 17	April 17
ఏప్రిల్ 18	April 18
ఏప్రిల్ 19	April 19
ఏప్రిల్ 20	April 20
ఏప్రిల్ 21	April 21
ఏప్రిల్ 22	April 22
ఏప్రిల్ 23	April 23
ఏప్రిల్ 24	April 24
ఏప్రిల్ 25	April 25
ఏప్రిల్ 26	April 26
ఏప్రిల్ 27	April 27
ఏప్రిల్ 28	April 28
ఏప్రిల్ 29	April 29
ఏప్రిల్ 30	April 30
ఉపగ్రహం	Natural satellite
మే 1	May 1
మే 2	May 2
మే 3	May 3
మే 4	May 4
మే 5	May 5
మే 6	May 6
మే 7	May 7
మే 8	May 8
మే 9	May 9
మే 10	May 10
మే 11	May 11
మే 12	May 12
మే 13	May 13
మే 14	May 14
మే 15	May 15
మే 16	May 16
మే 17	May 17
మే 18	May 18
మే 19	May 19
మే 20	May 20
మే 21	May 21
మే 22	May 22
మే 23	May 23
మే 24	May 24
మే 25	May 25
మే 26	May 26
మే 27	May 27
మే 28	May 28
మే 29	May 29
మే 30	May 30
మే 31	May 31
డిసెంబర్ 21	December 21
జూన్ 14	June 14
